Title;Title_cat
Bench barbell roll-out;407
Barbell Side Bend;346
Advanced Kettlebell Windmill;230
Kettlebell Pass Between The Legs;1702
Dumbbell spell caster;737
Plate Twist;2098
Bosu Ball Cable Crunch With Side Bends;451
Cable reverse crunch;499
Cable Russian Twists;488
Cable Seated Crunch;489
Cable Judo Flip;484
Gorilla Chin/Crunch;984
Crunch - Hands Overhead;584
Stomach Vacuum;2597
Butt-Ups;473
Janda Sit-Up;1671
Leg Pull-In;1788
Cross Crunch;569
Full Moon;970
Hanging knee raise with manual resistance;1179
Partner lying leg raise with lateral throw down;2053
Hanging leg raise with throw down;1181
Partner sit-up with high-five;2060
Partner lying leg raise with throw down;2054
Partner target sit-up;2061
Suspended Crunch;2625
Partner front Russian twist and pass;2052
Partner side Russian twist and pass;2058
Weighted Ball Side Bend;2839
Band Hip Adductions;288
Adductor SMR;229
Lying Bent Leg Groin;1820
Elbow plank;760
Bottoms Up;454
Spider crawl;2491
Cocoons;562
Cross-Body Crunch;571
Brachialis SMR;462
Wide-grip barbell curl;2861
Close-grip EZ-bar curl;554
Barbell Curls Lying Against An Incline;333
Seated Close-Grip Concentration Barbell Curl;2235
Close-grip barbell curl;555
Drag curl;638
Lying High Bench Barbell Curl;1830
Seated wide-grip curl to close-grip curl;2282
Seated Straigh-Bar Curl Superset;2259
Incline Hammer Curls;1636
Biceps curl to shoulder press;431
Flexor Incline Dumbbell Curls;947
Cross-body hammer curl;573
Standing concentration curl;2569
Preacher Hammer Dumbbell Curl;2119
Lying Supine Dumbbell Curl;1836
Standing Dumbbell Reverse Curl;2535
Palms-out incline biceps curl;2043
Straight-arm plank with biceps curl;2607
Face-down incline dumbbell biceps curl;934
Seated Dumbbell Inner Biceps Curl;2237
Dumbbell Get-Up Sit-Up;671
Standing Inner-Biceps Curl;2547
Reverse Plate Curls;2171
Standing Biceps Stretch;2525
Suspended Curl;2626
Plate hammer curl;2101
Reverse Cable Curl;2164
Lying cable biceps curl;1839
Cable rope preacher hammer curl;501
Lying Close-Grip Bar Curl On High Pulley;1822
Machine Bicep Curl;1855
Machine Preacher Curls;1859
Elbow-to-knee crunch;762
Reverse Barbell Preacher Curls;2161
Close-Grip EZ-Bar Curl with Band;550
Calf Raises - With Bands;514
Calf SMR;515
Rocking Standing Calf Raise;2196
Standing barbell calf raise;2558
Barbell Seated Calf Raise;344
Calf Raise On A Dumbbell;513
Balance Board;285
Anterior Tibialis-SMR;260
Foot-SMR;953
Standing Calf Raises;2533
Calf Press;510
Smith Machine Reverse Calf Raises;2451
Decline Crunch;595
Cross Over - With Bands;570
Bench Press - With Bands;404
Bench Press With Short Bands;405
Feet-Elevated TRX Push-Up;936
Wide-grip bench press;2862
Wide-Grip Decline Barbell Bench Press;2856
Neck Press;1993
Front Raise And Pullover;964
Barbell Bench Press-Wide Grip;330
Wide-Grip Decline Barbell Pullover;2857
Barbell Guillotine Bench Press;340
Extended Range One-Arm Kettlebell Floor Press;783
Kettlebell alternating floor press;1706
One-Arm Kettlebell Floor Press;2015
Leg-Over Floor Press;1793
Hanging toes-to-bar;1182
Hanging Oblique Knee Raise;1175
Hanging leg raise;1180
Mountain climber;1973
Ab bicycle;226
3/4 sit-up;1
Reverse crunch;2173
Crunches;585
Dead bug reach;589
V-up;2817
Russian twist;2216
Flat Bench Lying Leg Raise;945
Knees tucked crunch;1763
Feet-elevated oblique crunch;940
Bent-knee reverse crunch;423
Alternating heel-touch;251
Suspended Reverse Crunch;2629
Lying bench reverse crunch;1838
Sit-up;2429
Side Bridge;2299
Leverage Incline Chest Press;1799
Leverage Chest Press;1795
Decline Smith Press;602
Leverage Decline Chest Press;1797
Smith Machine Decline Press;2449
Smith machine bench press throw;2458
Incline cable chest press;1646
Cable Chest Press;477
Cable cross-over;496
Standing Cable Chest Press;2527
Chest Push (multiple response);528
Chest Push (single response);529
Chest Push with Run Release;531
Chest Push from 3 point stance;530
Reverse-grip incline dumbbell bench press;2183
Hammer Grip Incline DB Bench Press;1159
Incline Dumbbell Bench With Palms Facing In;1625
Incline Dumbbell Flyes - With A Twist;1629
One-Arm Flat Bench Dumbbell Flye;2014
Bodyweight Flyes;436
Drop Push;639
Forward Drag with Press;956
Chain Press;525
Behind Head Chest Stretch;396
Pass-through stretch with band;2062
Heavy Bag Thrust;1185
Decline Explosive Push-Up;600
Suspended Chest Fly;2624
Svend press;2637
Bar Push-Up Smith Machine;324
Exercise ball chest stretch;771
Bosu Ball Push-Up;452
Standing behind-the-back wrist curl;2561
Seated finger curl;2272
Bottoms-Up Clean From The Hang Position;455
Seated One-Arm Dumbbell Palms-Up Wrist Curl;2253
Palms-Up Dumbbell Wrist Curl Over A Bench;2041
Seated palms-down wrist curl;2277
Palms-Down Dumbbell Wrist Curl Over A Bench;2040
Seated One-Arm Dumbbell Palms-Down Wrist Curl;2252
Seated Dumbbell Palms-Up Wrist Curl;2238
Partner farmer's walk;2051
Rickshaw Carry;2186
Wrist Roller;2867
Standing Olympic Plate Hand Squeeze;2551
Plate Pinch;2096
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl;2260
Cable Wrist Curl;495
Lying oblique crunch;1851
Hip Extension with Bands;1197
Hip Lift with Band;1199
Kneeling Squat;1756
Kneeling Jump Squat;1755
Suspended Hip Thrust;2627
Pull Through;2122
Side Jackknife;2301
Scissor Kick;2220
Toe Touchers;2688
Lower Back Curl;1812
Exercise ball torso rotation;781
Seated Overhead Stretch;2254
Downward Facing Balance;637
Band Good Morning (Pull Through);287
Hamstring-SMR;1162
Clean Deadlift;540
Sumo deadlift;2617
Romanian Deadlift from Deficit;2202
Power Snatch;2113
Power Clean from Blocks;2111
Snatch Deadlift;2481
Hang Snatch;1169
Wide Stance Stiff Legs;2852
Clean;539
Sumo Deadlift with Chains;2615
